,raceId,driverId,constructorId,grid,positionOrder,statusId,constructorForm,year,constructorPower
2066,119,31,3,1,1,1,3.0562390832933315,2003.0,3.0562390832933315
2067,119,23,3,2,\N,3,3.0562390832933315,2003.0,3.0562390832933315
2068,119,14,1,10,2,1,2.273518167203879,2003.0,2.273518167203879
2069,119,8,1,5,\N,3,2.273518167203879,2003.0,2.273518167203879
2070,119,15,4,4,3,1,1.8268815547508408,2003.0,1.8268815547508408
2071,119,4,4,8,4,1,1.8268815547508408,2003.0,1.8268815547508408
2072,119,44,7,7,5,11,1.3043673819053694,2003.0,0.7333619496011154
2073,119,43,7,9,6,11,1.3043673819053694,2003.0,0.7333619496011154
2074,119,30,6,6,7,11,5.000164300340007,2003.0,5.000164300340007
2075,119,22,6,3,\N,3,5.000164300340007,2003.0,5.000164300340007
2076,119,18,16,17,8,11,1.5268514086339717,2003.0,0.9797621139807148
2077,119,35,16,13,9,12,1.5268514086339717,2003.0,0.9797621139807148
2078,119,2,15,15,10,12,0.8505550881170205,2003.0,1.5268514086339717
2079,119,49,15,14,\N,3,0.8505550881170205,2003.0,1.5268514086339717
2080,119,17,19,11,11,3,1.1276580727581926,2003.0,1.1276580727581926
2081,119,51,19,16,\N,6,1.1276580727581926,2003.0,1.1276580727581926
2082,119,53,18,20,12,15,0.7333619496011154,2003.0,0.8505550881170205
2083,119,50,18,19,\N,9,0.7333619496011154,2003.0,0.8505550881170205
2084,119,21,17,13,13,5,0.9797621139807148,2003.0,1.3043673819053694
2085,119,52,17,18,\N,3,0.9797621139807148,2003.0,1.3043673819053694
2086,120,4,4,1,1,1,1.8268815547508408,2003.0,1.8268815547508408
2087,120,15,4,6,7,11,1.8268815547508408,2003.0,1.8268815547508408
2088,120,8,1,7,2,1,2.273518167203879,2003.0,2.273518167203879
2089,120,14,1,9,5,1,2.273518167203879,2003.0,2.273518167203879
2090,120,31,3,4,3,1,5.000164300340007,2003.0,3.0562390832933315
2091,120,23,3,2,4,1,5.000164300340007,2003.0,3.0562390832933315
2092,120,17,19,3,6,1,1.3043673819053694,2003.0,1.1276580727581926
2093,120,51,19,12,\N,5,1.3043673819053694,2003.0,1.1276580727581926
2094,120,30,6,8,8,11,3.0562390832933315,2003.0,5.000164300340007
2095,120,22,6,5,\N,22,3.0562390832933315,2003.0,5.000164300340007
2096,120,2,15,11,9,11,0.8505550881170205,2003.0,1.5268514086339717
2097,120,49,15,17,\N,60,0.8505550881170205,2003.0,1.5268514086339717
2098,120,18,16,14,10,11,1.5268514086339717,2003.0,0.9797621139807148
2099,120,35,16,16,\N,9,1.5268514086339717,2003.0,0.9797621139807148
2100,120,43,7,15,11,12,1.1276580727581926,2003.0,0.7333619496011154
2101,120,44,7,10,\N,6,1.1276580727581926,2003.0,0.7333619496011154
2102,120,50,18,18,12,13,0.7333619496011154,2003.0,0.8505550881170205
2103,120,53,18,20,13,14,0.7333619496011154,2003.0,0.8505550881170205
2104,120,47,17,19,\N,5,0.9797621139807148,2003.0,1.3043673819053694
2105,120,21,17,13,\N,5,0.9797621139807148,2003.0,1.3043673819053694
2106,121,30,6,1,1,1,3.0562390832933315,2003.0,5.000164300340007
2107,121,22,6,3,3,1,3.0562390832933315,2003.0,5.000164300340007
2108,121,31,3,2,2,1,5.000164300340007,2003.0,3.0562390832933315
2109,121,48,3,5,5,1,5.000164300340007,2003.0,3.0562390832933315
2110,121,8,1,4,4,1,2.273518167203879,2003.0,2.273518167203879
2111,121,14,1,8,\N,32,2.273518167203879,2003.0,2.273518167203879
2112,121,35,16,10,6,11,1.5268514086339717,2003.0,0.9797621139807148
2113,121,18,16,7,\N,6,1.5268514086339717,2003.0,0.9797621139807148
2114,121,17,19,11,7,11,1.3043673819053694,2003.0,1.1276580727581926
2115,121,51,19,15,\N,6,1.3043673819053694,2003.0,1.1276580727581926
2116,121,4,4,20,8,11,1.8268815547508408,2003.0,1.8268815547508408
2117,121,15,4,6,\N,9,1.8268815547508408,2003.0,1.8268815547508408
2118,121,2,15,16,9,11,0.8505550881170205,2003.0,1.5268514086339717
2119,121,49,15,14,13,13,0.8505550881170205,2003.0,1.5268514086339717
2120,121,21,17,13,10,11,0.9797621139807148,2003.0,1.3043673819053694
2121,121,47,17,18,11,12,0.9797621139807148,2003.0,1.3043673819053694
2122,121,53,18,19,12,12,0.7333619496011154,2003.0,0.8505550881170205
2123,121,50,18,17,\N,44,0.7333619496011154,2003.0,0.8505550881170205
2124,121,44,7,9,\N,23,1.1276580727581926,2003.0,0.7333619496011154
2125,121,43,7,12,\N,27,1.1276580727581926,2003.0,0.7333619496011154
2126,122,30,6,7,1,1,5.000164300340007,2003.0,5.000164300340007
2127,122,22,6,2,\N,4,5.000164300340007,2003.0,5.000164300340007
2128,122,8,1,1,2,1,2.273518167203879,2003.0,2.273518167203879
2129,122,14,1,8,\N,6,2.273518167203879,2003.0,2.273518167203879
2130,122,49,15,15,3,1,1.5268514086339717,2003.0,1.5268514086339717
