,raceId,driverId,constructorId,grid,position,statusId,constructorForm,driverPerformance
214,28,21,10,18,15,11,0.7333619496011154,0.7910059984038539
215,28,16,10,20,\N,23,0.7333619496011154,0.6794651201920797
216,28,7,5,19,18,13,0.8505550881170205,0.6986531916133043
217,28,20,5,11,\N,25,0.8505550881170205,0.7666001723099394
218,29,13,6,1,1,1,5.000164300340007,0.7519000202935545
219,29,8,6,4,\N,5,5.000164300340007,0.7113395994347687
220,29,1,1,2,2,1,3.0562390832933315,0.7823098824251359
221,29,5,1,5,4,1,3.0562390832933315,0.6860575467123556
222,29,9,2,3,3,1,2.273518167203879,0.8546516892561984
223,29,2,2,8,9,1,2.273518167203879,0.6374870880727223
224,29,15,7,7,5,1,1.8268815547508408,0.8650670292095166
225,29,10,7,13,7,1,1.8268815547508408,0.6313947038935961
226,29,20,5,6,6,1,0.8505550881170205,0.7771369166229789
227,29,7,5,10,10,1,0.8505550881170205,0.6901033966578752
228,29,3,3,9,8,1,1.1276580727581926,0.8317063641009661
229,29,6,3,11,15,11,1.1276580727581926,0.6515530070811618
230,29,12,4,15,11,1,1.5268514086339717,0.5966958572071431
231,29,4,4,12,\N,4,1.5268514086339717,0.9277658395485998
232,29,17,9,14,12,11,1.3043673819053694,0.868502127687785
233,29,14,9,17,17,11,1.3043673819053694,0.6294184854961197
234,29,18,11,16,13,11,0.9797621139807148,0.7279488078290364
235,29,22,11,19,16,11,0.9797621139807148,0.7341950320256757
236,29,21,10,18,14,11,0.7333619496011154,0.7980199768666099
237,29,16,10,20,\N,3,0.7333619496011154,0.6743268506186607
238,30,13,6,2,1,1,5.000164300340007,0.7797852127084607
239,30,8,6,4,18,20,5.000164300340007,0.6880201430916469
240,30,2,2,5,2,1,2.273518167203879,0.6504280601084498
241,30,9,2,8,6,1,2.273518167203879,0.833482181177255
242,30,1,1,1,3,1,3.0562390832933315,0.7926205096717274
243,30,5,1,3,10,6,3.0562390832933315,0.6782686657651823
244,30,4,4,6,4,1,1.5268514086339717,0.9421901791139075
245,30,12,4,12,\N,20,1.5268514086339717,0.5886260156929959
246,30,20,5,10,5,1,0.9797621139807148,0.775025412932779
247,30,7,5,9,7,1,0.9797621139807148,0.6917828041858067
248,30,17,9,7,8,1,1.3043673819053694,0.8737447048603484
249,30,14,9,14,11,11,1.3043673819053694,0.6264305981947704
250,30,10,7,13,9,1,1.8268815547508408,0.6423435107432682
251,30,15,7,11,16,11,1.8268815547508408,0.8465501228769827
252,30,3,3,15,12,11,1.1276580727581926,0.833482181177255
253,30,6,3,19,14,11,1.1276580727581926,0.6504280601084498
254,30,16,10,18,13,11,0.7333619496011154,0.685543747398248
255,30,21,10,20,17,11,0.7333619496011154,0.782975640925718
256,30,18,11,17,15,11,0.8505550881170205,0.7325028841583064
257,30,22,11,16,\N,6,0.8505550881170205,0.7296199574375386
258,31,20,5,1,1,1,1.3043673819053694,0.8015427468962805
259,31,7,5,4,18,11,1.3043673819053694,0.6718028788374669
260,31,5,1,2,2,1,3.0562390832933315,0.7028493364951697
261,31,1,1,15,7,1,3.0562390832933315,0.7616180017943243
262,31,9,2,11,3,1,2.273518167203879,0.8273905329542295
263,31,2,2,10,5,1,2.273518167203879,0.6543152998715894
264,31,4,4,8,4,1,1.5268514086339717,0.9464755520960703
265,31,12,4,17,10,1,1.5268514086339717,0.586160611829334
266,31,13,6,6,6,1,5.000164300340007,0.7925051014880284
267,31,8,6,14,9,1,5.000164300340007,0.6783539138001302
268,31,17,9,3,8,1,1.1276580727581926,0.8895353160131159
269,31,14,9,13,16,11,1.1276580727581926,0.6176027867953245
270,31,10,7,9,11,1,1.8268815547508408,0.6475685431777316
271,31,15,7,7,13,1,1.8268815547508408,0.8380432814494136
272,31,6,3,18,12,1,0.9797621139807148,0.6447565406688716
273,31,3,3,5,14,1,0.9797621139807148,0.8425940170234728
274,31,18,11,19,15,1,0.8505550881170205,0.7310585786300049
275,31,22,11,16,17,11,0.8505550881170205,0.7310585786300049
276,31,16,10,20,19,12,0.7333619496011154,0.6805818652150034
277,31,21,10,12,\N,3,0.7333619496011154,0.7895091932356184
278,32,4,4,15,1,1,1.8268815547508408,0.9543613550398556
279,32,12,4,16,\N,3,1.8268815547508408,0.5814956622062494
280,32,3,3,8,2,1,0.9797621139807148,0.8448139894491224
281,32,6,3,10,8,1,0.9797621139807148,0.6433989583242224
282,32,1,1,2,3,1,5.000164300340007,0.7730255821074646
283,32,5,1,5,10,1,5.000164300340007,0.6933887676172806
284,32,10,7,7,4,1,1.5268514086339717,0.6663557968719439
285,32,15,7,11,\N,9,1.5268514086339717,0.809322183004107
286,32,20,5,6,5,1,1.3043673819053694,0.8206849672613876
287,32,7,5,17,12,1,1.3043673819053694,0.6586905520317935
288,32,2,2,9,6,1,2.273518167203879,0.6615293869440108
289,32,9,2,4,11,1,2.273518167203879,0.8164197054934791
290,32,14,9,14,7,1,1.1276580727581926,0.6309972967093627
291,32,17,9,13,\N,7,1.1276580727581926,0.8657556668454365
292,32,18,11,12,9,1,0.8505550881170205,0.7515715738934365
293,32,22,11,18,\N,26,0.8505550881170205,0.7116339219518919
294,32,13,6,1,13,1,3.0562390832933315,0.7938061121342361
295,32,8,6,3,15,3,3.0562390832933315,0.677395347474583
296,32,21,10,20,14,1,0.7333619496011154,0.7882138906157204
297,32,16,10,19,\N,3,0.7333619496011154,0.6815541915352465
298,33,4,4,4,1,1,1.8268815547508408,0.953833633001014
299,33,12,4,12,4,1,1.8268815547508408,0.5818141377448852
300,33,9,2,6,2,1,2.273518167203879,0.833482181177255
301,33,2,2,16,9,1,2.273518167203879,0.6504280601084498
302,33,8,6,2,3,1,5.000164300340007,0.6873986386222443
303,33,13,6,5,7,1,5.000164300340007,0.7805815713698451
304,33,15,7,7,5,1,1.5268514086339717,0.8241520727655486
305,33,10,7,8,\N,28,1.5268514086339717,0.6564153026807514
306,33,20,5,9,6,1,1.3043673819053694,0.821485002312864
307,33,7,5,10,10,1,1.3043673819053694,0.6581630087514718
308,33,17,9,13,8,1,1.1276580727581926,0.8702118048190604
309,33,14,9,11,\N,4,1.1276580727581926,0.6284404796118289
310,33,3,3,15,11,1,0.9797621139807148,0.8414574959928546
311,33,6,3,14,15,11,0.9797621139807148,0.6454551080492086
312,33,1,1,1,12,1,3.0562390832933315,0.7792879210861527
313,33,5,1,3,\N,5,3.0562390832933315,0.6884093973380497
314,33,22,11,17,13,11,0.8505550881170205,0.7150393316613967
315,33,18,11,18,14,11,0.8505550881170205,0.747811215221544
316,33,21,10,20,\N,6,0.7333619496011154,0.7857778222528913
317,33,16,10,19,\N,27,0.7333619496011154,0.6833979618825686
318,34,1,1,1,1,1,3.0562390832933315,0.8021653680214289
319,34,5,1,5,\N,9,3.0562390832933315,0.6713605924949618
320,34,13,6,3,2,1,5.000164300340007,0.7775413176716633
321,34,8,6,2,3,1,5.000164300340007,0.6897836288333835
322,34,4,4,4,4,1,1.8268815547508408,0.9533649418833439
323,34,12,4,10,8,1,1.8268815547508408,0.5820961408695374
324,34,2,2,9,5,1,2.273518167203879,0.6593546813292253
325,34,9,2,11,6,1,2.273518167203879,0.819681102757864
326,34,10,7,12,7,1,1.5268514086339717,0.6678559410934238
327,34,15,7,7,\N,4,1.5268514086339717,0.8071554154853626
328,34,20,5,6,9,1,1.3043673819053694,0.8234460618587057
329,34,7,5,8,13,1,1.3043673819053694,0.6568763199912606
330,34,14,9,15,10,1,1.1276580727581926,0.6289574114259695
331,34,17,9,16,14,1,1.1276580727581926,0.8693073581087244
332,34,22,11,13,11,1,0.8505550881170205,0.7255890199026461
333,34,18,11,18,16,11,0.8505550881170205,0.7366112135043927
334,34,6,3,17,12,1,0.9797621139807148,0.6504280601084498
335,34,3,3,14,15,11,0.9797621139807148,0.833482181177255
336,34,21,10,20,17,11,0.7333619496011154,0.7836341143500044
337,34,16,10,19,\N,5,0.7333619496011154,0.6850370876030214
338,35,13,6,1,1,1,5.000164300340007,0.7794315486923582
339,35,8,6,3,3,1,5.000164300340007,0.68829688181067
340,35,4,4,6,2,1,1.8268815547508408,0.9604060744102123
341,35,12,4,11,\N,3,1.8268815547508408,0.5777660162570919
342,35,20,5,7,4,1,1.3043673819053694,0.8322984069747369
343,35,7,5,9,14,11,1.3043673819053694,0.6511772187526033
344,35,1,1,4,5,1,3.0562390832933315,0.8015427468962805
